Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,50005.0,50005.0,48345.0,48512.0,48512.0,2882100
2015-01-05,48512.0,48512.0,47264.0,47517.0,47517.0,3866100
2015-01-06,47517.0,48061.0,47338.0,48001.0,48001.0,4559300
2015-01-07,48006.0,49882.0,48006.0,49463.0,49463.0,4408800
2015-01-08,49463.0,50261.0,49017.0,49943.0,49943.0,3621900
2015-01-09,49955.0,49955.0,48501.0,48840.0,48840.0,2999200
2015-01-12,48840.0,48840.0,47956.0,48140.0,48140.0,3246100
2015-01-13,48144.0,48939.0,48042.0,48042.0,48042.0,3881600
2015-01-14,48038.0,48281.0,47372.0,47646.0,47646.0,3697200
2015-01-15,47648.0,48853.0,47648.0,48026.0,48026.0,4463600
2015-01-16,48028.0,49264.0,48028.0,49017.0,49017.0,3344900
2015-01-19,49009.0,49009.0,47503.0,47758.0,47758.0,2096000
2015-01-20,47759.0,48687.0,47619.0,47877.0,47877.0,2899100
2015-01-21,47888.0,49329.0,47888.0,49224.0,49224.0,3561400
2015-01-22,49227.0,50281.0,49227.0,49443.0,49443.0,4952300
2015-01-23,49432.0,49523.0,48496.0,48775.0,48775.0,3081600
2015-01-26,48712.0,48712.0,48004.0,48577.0,48577.0,2774200
2015-01-27,48577.0,48864.0,47352.0,48591.0,48591.0,3890900
2015-01-28,48589.0,48589.0,47550.0,47695.0,47695.0,4241400
2015-01-29,47696.0,47894.0,47007.0,47762.0,47762.0,4405500
2015-01-30,47759.0,47759.0,46484.0,46908.0,46908.0,4846600
2015-02-02,46933.0,47684.0,46760.0,47651.0,47651.0,3247800
2015-02-03,47664.0,48993.0,47664.0,48964.0,48964.0,4819800
2015-02-04,48965.0,49718.0,48214.0,49301.0,49301.0,4811300
2015-02-05,49299.0,49816.0,49020.0,49234.0,49234.0,4004000
2015-02-06,49231.0,49231.0,48209.0,48792.0,48792.0,4591400
2015-02-09,48792.0,49522.0,48416.0,49383.0,49383.0,3658900
2015-02-10,49359.0,49799.0,48510.0,48510.0,48510.0,3796000
2015-02-11,48508.0,48762.0,47841.0,48240.0,48240.0,4307600
2015-02-12,48240.0,49690.0,48240.0,49533.0,49533.0,3828500
2015-02-13,49546.0,50726.0,49476.0,50636.0,50636.0,3888100
2015-02-18,50639.0,51868.0,50639.0,51280.0,51280.0,2940700
2015-02-19,51281.0,51638.0,50870.0,51294.0,51294.0,2485100
2015-02-20,51301.0,51450.0,50711.0,51238.0,51238.0,2208700
2015-02-23,51238.0,51690.0,50861.0,51281.0,51281.0,2824500
2015-02-24,51288.0,51956.0,51049.0,51874.0,51874.0,3004200
2015-02-25,51863.0,51863.0,51051.0,51811.0,51811.0,3477200
2015-02-26,51812.0,51922.0,51181.0,51761.0,51761.0,3239000
2015-02-27,51760.0,52457.0,51474.0,51583.0,51583.0,4177300
2015-03-02,51580.0,51580.0,50775.0,51021.0,51021.0,2793700
2015-03-03,51021.0,51432.0,50995.0,51304.0,51304.0,2746200
2015-03-04,51303.0,51303.0,50399.0,50468.0,50468.0,3654700
2015-03-05,50472.0,50734.0,50114.0,50365.0,50365.0,2732500
2015-03-06,50355.0,50401.0,49779.0,49981.0,49981.0,2787800
2015-03-09,49978.0,49978.0,48952.0,49181.0,49181.0,3299100
2015-03-10,49177.0,49177.0,48293.0,48293.0,48293.0,4434300
2015-03-11,48309.0,48937.0,48309.0,48906.0,48906.0,3839700
2015-03-12,48908.0,49633.0,48684.0,48880.0,48880.0,3833200
2015-03-13,48858.0,48858.0,47905.0,48596.0,48596.0,4475600
2015-03-16,48602.0,49205.0,48394.0,48848.0,48848.0,3155400
2015-03-17,48849.0,50384.0,48841.0,50285.0,50285.0,4013900
2015-03-18,50284.0,51773.0,49788.0,51526.0,51526.0,4458900
2015-03-19,51530.0,51547.0,50791.0,50954.0,50954.0,3263600
2015-03-20,50964.0,52286.0,50964.0,51967.0,51967.0,4916800
2015-03-23,51970.0,52178.0,51516.0,51908.0,51908.0,3397500
2015-03-24,51908.0,52223.0,51006.0,51506.0,51506.0,3436500
2015-03-25,51507.0,52319.0,51507.0,51858.0,51858.0,4774600
2015-03-26,51835.0,51835.0,50528.0,50580.0,50580.0,3638500
2015-03-27,50575.0,50575.0,49909.0,50095.0,50095.0,3927700
2015-03-30,50100.0,51265.0,50100.0,51243.0,51243.0,2798500
2015-03-31,51243.0,51466.0,50612.0,51150.0,51150.0,3511300
2015-04-01,51186.0,52613.0,51186.0,52322.0,52322.0,4411500
2015-04-02,52322.0,53312.0,52322.0,53123.0,53123.0,4266500
2015-04-06,53124.0,54146.0,53122.0,53737.0,53737.0,3322100
2015-04-07,53738.0,54002.0,53436.0,53729.0,53729.0,3487100
2015-04-08,53732.0,54458.0,53508.0,53661.0,53661.0,4780400
2015-04-09,53638.0,54002.0,53292.0,53803.0,53803.0,4338300
2015-04-10,53803.0,54413.0,53556.0,54214.0,54214.0,3683000
2015-04-13,54214.0,54866.0,54004.0,54240.0,54240.0,3660300
2015-04-14,54240.0,54625.0,53773.0,53982.0,53982.0,3747100
2015-04-15,54037.0,54960.0,54037.0,54919.0,54919.0,4069600
2015-04-16,54919.0,54919.0,54316.0,54674.0,54674.0,4133000
2015-04-17,54672.0,54672.0,53896.0,53955.0,53955.0,3537200
2015-04-20,53965.0,54385.0,53510.0,53761.0,53761.0,2688000
2015-04-22,53762.0,54848.0,53762.0,54617.0,54617.0,3700600
2015-04-23,54616.0,55782.0,54064.0,55685.0,55685.0,5535100
2015-04-24,55687.0,56965.0,55687.0,56594.0,56594.0,4982000
2015-04-27,56554.0,56962.0,55515.0,55535.0,55535.0,3854300
2015-04-28,55549.0,56018.0,54973.0,55812.0,55812.0,4082600
2015-04-29,55809.0,55809.0,55067.0,55325.0,55325.0,3888400
2015-04-30,55312.0,56229.0,55080.0,56229.0,56229.0,4947500
2015-05-04,56230.0,57520.0,56230.0,57354.0,57354.0,3492600
2015-05-05,57350.0,58147.0,57096.0,58052.0,58052.0,3903800
2015-05-06,58050.0,58575.0,56820.0,57103.0,57103.0,4598400
2015-05-07,57103.0,57290.0,56507.0,56921.0,56921.0,3065100
2015-05-08,56965.0,57621.0,56595.0,57149.0,57149.0,3410900
2015-05-11,57166.0,57490.0,57013.0,57197.0,57197.0,2966300
2015-05-12,57193.0,57424.0,56753.0,56792.0,56792.0,3087600
2015-05-13,56790.0,56900.0,56199.0,56372.0,56372.0,3071700
2015-05-14,56376.0,56921.0,56105.0,56657.0,56657.0,3209800
2015-05-15,56656.0,57288.0,56422.0,57249.0,57249.0,2894400
2015-05-18,57250.0,57606.0,55926.0,56204.0,56204.0,3778400
2015-05-19,56204.0,56212.0,55027.0,55499.0,55499.0,3223000
2015-05-20,55497.0,55645.0,54820.0,54901.0,54901.0,3278700
2015-05-21,54900.0,55112.0,54526.0,55112.0,55112.0,3303700
